,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
3176,"Congo, Dem. Rep. of the",326.0,608.0,539.0,583.0,433.0,626.0,835.0,Portugal,3950.0
3177,"Congo, Rep. of the",61.0,110.0,91.0,230.0,492.0,711.0,950.0,Portugal,2645.0
3197,France,458.0,1039.0,1095.0,5042.0,13189.0,19060.0,25469.0,Portugal,65352.0
3201,Germany,520.0,1013.0,949.0,2191.0,4468.0,6468.0,8692.0,Portugal,24301.0
3207,Guinea-Bissau,0.0,326.0,769.0,1532.0,2802.0,4101.0,5732.0,Portugal,15262.0
3214,India,791.0,1366.0,1137.0,1341.0,1274.0,1850.0,2517.0,Portugal,10276.0
3220,Italy,151.0,284.0,249.0,347.0,447.0,646.0,865.0,Portugal,2989.0
3251,Moldova,2.0,3.0,3.0,282.0,862.0,1267.0,1797.0,Portugal,4216.0
3255,Mozambique,4010.0,9127.0,10660.0,15303.0,20722.0,29984.0,40243.0,Portugal,130049.0
3260,Netherlands,124.0,308.0,370.0,566.0,829.0,1196.0,1589.0,Portugal,4982.0
3278,Romania,7.0,16.0,16.0,261.0,761.0,1120.0,1591.0,Portugal,3772.0
3279,Russia,2.0,5.0,5.0,216.0,676.0,977.0,1303.0,Portugal,3184.0
3286,Sao Tome and Principe,262.0,536.0,564.0,903.0,1378.0,2005.0,2743.0,Portugal,8391.0
3297,South Africa,52.0,141.0,183.0,696.0,1727.0,2503.0,3385.0,Portugal,8687.0
3298,Spain,684.0,1193.0,907.0,1362.0,1972.0,2824.0,3647.0,Portugal,12589.0
3304,Switzerland,90.0,163.0,134.0,246.0,429.0,620.0,828.0,Portugal,2510.0
3310,Timor Leste,146.0,282.0,272.0,364.0,442.0,640.0,861.0,Portugal,3007.0
3319,Ukraine,5.0,11.0,11.0,946.0,2891.0,4247.0,6003.0,Portugal,14114.0
3321,United Kingdom,585.0,1264.0,1360.0,1876.0,2387.0,3455.0,4643.0,Portugal,15570.0
3322,United States,294.0,580.0,525.0,741.0,984.0,1411.0,1833.0,Portugal,6368.0
3326,Venezuela,111.0,492.0,790.0,1567.0,2916.0,4209.0,5597.0,Portugal,15682.0
3332,Afghanistan,6.0,23.0,68.0,210.0,564.0,1132.0,2088.0,Sweden,4091.0
3334,Algeria,165.0,213.0,353.0,441.0,564.0,662.0,896.0,Sweden,3294.0
3338,Argentina,296.0,378.0,595.0,684.0,838.0,1059.0,1208.0,Sweden,5058.0
3340,Australia,70.0,120.0,263.0,363.0,559.0,732.0,934.0,Sweden,3041.0
3341,Austria,1473.0,1652.0,2402.0,2295.0,2243.0,2074.0,2336.0,Sweden,14475.0
3345,Bangladesh,62.0,124.0,277.0,448.0,754.0,1024.0,1438.0,Sweden,4127.0
3352,Bolivia,94.0,240.0,409.0,478.0,642.0,853.0,1221.0,Sweden,3937.0
3353,Bosnia and Herzegovina,6271.0,7735.0,10542.0,24049.0,29302.0,34106.0,39348.0,Sweden,151353.0
3355,Brazil,120.0,177.0,341.0,544.0,811.0,1214.0,1896.0,Sweden,5103.0
3357,Bulgaria,188.0,248.0,536.0,889.0,1132.0,1447.0,2290.0,Sweden,6730.0
3362,Canada,166.0,238.0,365.0,463.0,634.0,778.0,1028.0,Sweden,3672.0
3366,Chile,924.0,1775.0,4583.0,5323.0,7089.0,8774.0,10443.0,Sweden,38911.0
3367,China,292.0,521.0,625.0,1242.0,1862.0,2947.0,5942.0,Sweden,13431.0
3370,Colombia,103.0,163.0,357.0,559.0,916.0,1685.0,2798.0,Sweden,6581.0
3376,Croatia,364.0,442.0,609.0,1388.0,2394.0,2867.0,3352.0,Sweden,11416.0
3379,Czech Republic,847.0,991.0,1579.0,1641.0,1597.0,1570.0,1894.0,Sweden,10119.0
3380,Denmark,8257.0,9104.0,10091.0,9735.0,10023.0,10799.0,12746.0,Sweden,70755.0
3385,Egypt,216.0,282.0,384.0,515.0,614.0,758.0,1072.0,Sweden,3841.0
3386,El Salvador,5.0,40.0,208.0,340.0,537.0,730.0,930.0,Sweden,2790.0
3388,Eritrea,0.0,0.0,0.0,30.0,766.0,1294.0,2300.0,Sweden,4390.0
3389,Estonia,4293.0,4414.0,3519.0,3580.0,3333.0,3506.0,4660.0,Sweden,27305.0
3390,Ethiopia,233.0,493.0,1491.0,2510.0,3179.0,3149.0,3907.0,Sweden,14962.0
3392,Finland,39971.0,45965.0,49650.0,52057.0,54490.0,53895.0,53929.0,Sweden,349957.0
3393,France,576.0,704.0,1105.0,1267.0,1646.0,1923.0,2357.0,Sweden,9578.0
3395,"Gambia, The",113.0,160.0,284.0,483.0,651.0,777.0,1050.0,Sweden,3518.0
3397,Germany,7265.0,8185.0,11262.0,11113.0,11472.0,12136.0,16268.0,Sweden,77701.0
3399,Greece,2678.0,3109.0,2710.0,2767.0,2722.0,2823.0,3162.0,Sweden,19971.0
3408,Hungary,2838.0,3290.0,5051.0,5130.0,5122.0,4999.0,5965.0,Sweden,32395.0
3409,Iceland,418.0,492.0,985.0,984.0,1072.0,1247.0,1520.0,Sweden,6718.0
3410,India,411.0,591.0,859.0,1204.0,1958.0,3095.0,4710.0,Sweden,12828.0
3411,Indonesia,68.0,100.0,148.0,188.0,297.0,601.0,918.0,Sweden,2320.0
3412,Iran,532.0,1671.0,9361.0,12487.0,14936.0,18086.0,23928.0,Sweden,81001.0
3413,Iraq,119.0,870.0,2198.0,4784.0,9232.0,13859.0,24293.0,Sweden,55355.0
3415,Israel,104.0,173.0,322.0,391.0,485.0,643.0,745.0,Sweden,2863.0
3416,Italy,1398.0,1546.0,1783.0,1784.0,1938.0,2023.0,2518.0,Sweden,12990.0
3418,Japan,221.0,277.0,504.0,595.0,789.0,1080.0,1416.0,Sweden,4882.0
