,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
516,Netherlands,55815.0,52650.0,57175.0,59200.0,58480.0,59210.0,81192.0,Canada,423722.0
524,Pakistan,6380.0,6955.0,10610.0,16815.0,35200.0,65760.0,90319.0,Canada,232039.0
530,Philippines,31910.0,39675.0,67210.0,103230.0,136190.0,203905.0,285775.0,Canada,867895.0
531,Poland,34995.0,43610.0,63785.0,76605.0,80410.0,95750.0,132578.0,Canada,527733.0
532,Portugal,9170.0,11020.0,16705.0,21845.0,24530.0,32700.0,44932.0,Canada,160902.0
534,Romania,7845.0,9270.0,13715.0,23070.0,34005.0,54160.0,74901.0,Canada,216966.0
535,Russia,12134.0,10870.0,12598.0,16776.0,28736.0,41280.0,57412.0,Canada,179806.0
545,Serbia and Montenegro,6555.0,6451.0,7351.0,6151.0,6481.0,17210.0,23736.0,Canada,73935.0
553,South Africa,6285.0,8375.0,12850.0,16110.0,21105.0,25535.0,35252.0,Canada,125512.0
555,Sri Lanka,2045.0,3485.0,10295.0,17255.0,24070.0,38720.0,53337.0,Canada,149207.0
560,Switzerland,8910.0,8790.0,10195.0,12835.0,13715.0,15065.0,20745.0,Canada,90255.0
562,Taiwan,14195.0,3140.0,7700.0,20710.0,31335.0,36600.0,50853.0,Canada,164533.0
569,Trinidad and Tobago,14635.0,16905.0,23150.0,30955.0,32500.0,38775.0,53835.0,Canada,210755.0
575,Ukraine,10020.0,8948.0,10340.0,15011.0,24823.0,33576.0,46599.0,Canada,149317.0
577,United Kingdom,291235.0,283280.0,309900.0,323455.0,327065.0,355805.0,490209.0,Canada,2380949.0
578,United States,94820.0,101465.0,119590.0,133720.0,139025.0,155935.0,216803.0,Canada,961358.0
583,Vietnam,6590.0,11655.0,18475.0,27590.0,38635.0,56430.0,77867.0,Canada,237242.0
649,France,13561.0,14517.0,17315.0,21383.0,27182.0,27850.0,30015.0,Switzerland,151823.0
653,Germany,32535.0,33706.0,38403.0,47805.0,60935.0,62216.0,66749.0,Switzerland,342349.0
672,Italy,7489.0,10847.0,16037.0,17755.0,20002.0,20304.0,21613.0,Switzerland,114047.0
790,Argentina,1560.0,1966.0,6746.0,10695.0,15523.0,21795.0,33256.0,Chile,91541.0
845,France,630.0,1230.0,5876.0,10069.0,16290.0,22502.0,33758.0,Chile,90355.0
849,Germany,1480.0,1628.0,4615.0,8159.0,13592.0,18881.0,28494.0,Chile,76849.0
989,Austria,49646.0,35876.0,39990.0,50834.0,50781.0,52621.0,58669.0,Germany,338417.0
1001,Bosnia and Herzegovina,9311.0,5593.0,8001.0,10153.0,13696.0,12778.0,15899.0,Germany,75431.0
1015,China,0.0,0.0,0.0,15611.0,18341.0,11507.0,41724.0,Germany,87183.0
1024,Croatia,13026.0,8060.0,11741.0,15125.0,24680.0,21580.0,24461.0,Germany,118673.0
1041,France,15635.0,15037.0,17414.0,31529.0,31327.0,39226.0,44905.0,Germany,195073.0
1047,Greece,11642.0,14395.0,13553.0,25778.0,24874.0,27471.0,31875.0,Germany,149588.0
1056,Hungary,3176.0,3637.0,1844.0,11446.0,13902.0,16215.0,20985.0,Germany,71205.0
1060,Iran,10294.0,12653.0,23731.0,35045.0,28227.0,18794.0,18770.0,Germany,147514.0
1064,Italy,24508.0,15271.0,18364.0,24383.0,32180.0,39527.0,47940.0,Germany,202173.0
1104,Netherlands,18205.0,14402.0,18423.0,22261.0,21333.0,27471.0,38028.0,Germany,160123.0
1119,Poland,16108.0,18884.0,9508.0,59913.0,57183.0,67624.0,93362.0,Germany,322582.0
1122,Romania,3869.0,4332.0,2209.0,13518.0,14697.0,20596.0,21237.0,Germany,80458.0
