,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
62,Philippines,5787.0,7202.4,8617.8,10033.2,11448.6,12864.0,15462.6,18061.2,20659.8,23258.4,25857.0,27253.2,28649.4,30045.6,31441.8,32838.0,33776.6,34715.2,35653.8,36592.4,37531.0,39537.4,41543.8,43550.2,45556.6,47563.0,49758.2,51953.4,54148.6,56343.8,58539.0,Australia,220979.0
63,Poland,14880.0,15626.2,16372.4,17118.6,17864.8,18611.0,18939.4,19267.8,19596.2,19924.6,20253.0,19866.8,19480.6,19094.4,18708.2,18322.0,18294.2,18266.4,18238.6,18210.8,18183.0,19065.4,19947.8,20830.2,21712.6,22595.0,23561.2,24527.4,25493.6,26459.8,27426.0,Australia,140270.0
64,Portugal,1095.0,1248.8,1402.6,1556.4,1710.2,1864.0,1978.2,2092.4,2206.6,2320.8,2435.0,2496.8,2558.6,2620.4,2682.2,2744.0,2767.4,2790.8,2814.2,2837.6,2861.0,2957.8,3054.6,3151.4,3248.2,3345.0,3451.6,3558.2,3664.8,3771.4,3878.0,Australia,18222.0
65,Romania,1673.0,1774.4,1875.8,1977.2,2078.6,2180.0,2302.4,2424.8,2547.2,2669.6,2792.0,2921.2,3050.4,3179.6,3308.8,3438.0,3559.0,3680.0,3801.0,3922.0,4043.0,4231.2,4419.4,4607.6,4795.8,4984.0,5190.2,5396.4,5602.6,5808.8,6015.0,Australia,25125.0
66,Russia,1561.0,1554.6,1548.2,1541.8,1535.4,1529.0,2096.4,2663.8,3231.2,3798.6,4366.0,4466.6,4567.2,4667.8,4768.4,4869.0,4936.6,5004.2,5071.8,5139.4,5207.0,5475.0,5743.0,6011.0,6279.0,6547.0,6840.2,7133.4,7426.6,7719.8,8013.0,Australia,32092.0
67,Samoa,189.0,308.4,427.8,547.2,666.6,786.0,961.2,1136.4,1311.6,1486.8,1662.0,1871.6,2081.2,2290.8,2500.4,2710.0,2911.4,3112.8,3314.2,3515.6,3717.0,3865.4,4013.8,4162.2,4310.6,4459.0,4622.0,4785.0,4948.0,5111.0,5274.0,Australia,18797.0
68,Serbia and Montenegro,1844.0,1916.6,1989.2,2061.8,2134.4,2207.0,4206.8,6206.6,8206.4,10206.2,12206.0,10414.4,8622.8,6831.200000000001,5039.6,3248.0,5511.4,7774.8,10038.2,12301.6,14565.0,15161.6,15758.2,16354.8,16951.4,17548.0,18202.0,18856.0,19510.0,20164.0,20818.0,Australia,72436.0
69,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,166.4,332.8,499.20000000000005,665.6,832.0,803.8,775.6,747.4,719.2,691.0,684.6,678.2,671.8,665.4,659.0,684.4,709.8,735.2,760.6,786.0,813.8,841.6,869.4,897.2,925.0,Australia,3893.0
70,Singapore,2524.0,2817.0,3110.0,3403.0,3696.0,3989.0,4508.0,5027.0,5546.0,6065.0,6584.0,6793.0,7002.0,7211.0,7420.0,7629.0,8063.2,8497.4,8931.6,9365.8,9800.0,10272.0,10744.0,11216.0,11688.0,12160.0,12677.0,13194.0,13711.0,14228.0,14745.0,Australia,57431.0
71,Slovakia,1327.0,1356.2,1385.4,1414.6,1443.8,1473.0,1586.4,1699.8,1813.2,1926.6,2040.0,1921.4,1802.8,1684.2,1565.6,1447.0,1348.8,1250.6,1152.4,1054.2,956.0,1003.4,1050.8,1098.2,1145.6,1193.0,1244.8,1296.6,1348.4,1400.2,1452.0,Australia,9888.0
72,Slovenia,1868.0,1926.6,1985.2,2043.8,2102.4,2161.0,2050.0,1939.0,1828.0,1717.0,1606.0,1829.8,2053.6,2277.4,2501.2,2725.0,2492.6,2260.2,2027.8,1795.4,1563.0,1622.0,1681.0,1740.0,1799.0,1858.0,1922.4,1986.8,2051.2,2115.6,2180.0,Australia,13961.0
73,Solomon Islands,118.0,126.0,134.0,142.0,150.0,158.0,172.8,187.6,202.4,217.2,232.0,243.6,255.2,266.8,278.4,290.0,301.0,312.0,323.0,334.0,345.0,360.2,375.4,390.6,405.8,421.0,438.0,455.0,472.0,489.0,506.0,Australia,2070.0
74,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,7.6,15.2,22.799999999999997,30.4,38.0,79.4,120.8,162.2,203.6,245.0,289.4,333.8,378.2,422.6,467.0,491.2,515.4,539.6,563.8,588.0,614.6,641.2,667.8,694.4,721.0,Australia,2059.0
75,South Africa,6610.0,7191.0,7772.0,8353.0,8934.0,9515.0,10412.6,11310.2,12207.8,13105.4,14003.0,14559.8,15116.6,15673.4,16230.2,16787.0,18769.8,20752.6,22735.4,24718.2,26701.0,28050.4,29399.8,30749.2,32098.6,33448.0,34925.0,36402.0,37879.0,39356.0,40833.0,Australia,147897.0
76,Spain,2818.0,2960.2,3102.4,3244.6,3386.8,3529.0,3511.2,3493.4,3475.6,3457.8,3440.0,3460.4,3480.8,3501.2,3521.6,3542.0,3584.0,3626.0,3668.0,3710.0,3752.0,3890.0,4028.0,4166.0,4304.0,4442.0,4593.6,4745.2,4896.8,5048.4,5200.0,Australia,26723.0
77,Sri Lanka,4425.0,4804.0,5183.0,5562.0,5941.0,6320.0,7339.4,8358.8,9378.2,10397.6,11417.0,11980.4,12543.8,13107.2,13670.6,14234.0,14981.8,15729.6,16477.4,17225.2,17973.0,18845.6,19718.2,20590.8,21463.4,22336.0,23291.6,24247.2,25202.8,26158.4,27114.0,Australia,103819.0
78,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,76.0,152.0,228.0,304.0,380.0,426.2,472.4,518.6,564.8,611.0,678.6,746.2,813.8,881.4,949.0,997.4,1045.8,1094.2,1142.6,1191.0,1243.8,1296.6,1349.4,1402.2,1455.0,Australia,4586.0
79,Sweden,1191.0,1238.8,1286.6,1334.4,1382.2,1430.0,1545.6,1661.2,1776.8,1892.4,2008.0,2012.0,2016.0,2020.0,2024.0,2028.0,2109.8,2191.6,2273.4,2355.2,2437.0,2553.8,2670.6,2787.4,2904.2,3021.0,3148.6,3276.2,3403.8,3531.4,3659.0,Australia,15774.0
80,Switzerland,2725.0,2792.0,2859.0,2926.0,2993.0,3060.0,3197.4,3334.8,3472.2,3609.6,3747.0,3760.6,3774.2,3787.8,3801.4,3815.0,3790.2,3765.4,3740.6,3715.8,3691.0,3850.2,4009.4,4168.6,4327.8,4487.0,4661.4,4835.8,5010.2,5184.6,5359.0,Australia,26884.0
81,Syria,504.0,552.2,600.4,648.6,696.8,745.0,831.8,918.6,1005.4,1092.2,1179.0,1215.0,1251.0,1287.0,1323.0,1359.0,1383.4,1407.8,1432.2,1456.6,1481.0,1547.4,1613.8,1680.2,1746.6,1813.0,1885.6,1958.2,2030.8,2103.4,2176.0,Australia,9257.0
