,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
3435,Macedonia,176.0,179.0,180.0,328.0,687.0,945.0,1346.0,Sweden,3841.0
3445,Mexico,52.0,87.0,140.0,195.0,334.0,556.0,767.0,Sweden,2131.0
3450,Morocco,583.0,676.0,787.0,1028.0,1162.0,1437.0,1981.0,Sweden,7654.0
3456,Netherlands,953.0,998.0,868.0,964.0,1276.0,1659.0,2299.0,Sweden,9017.0
3461,Norway,10232.0,10417.0,11084.0,10237.0,10304.0,11898.0,11434.0,Sweden,75606.0
3462,Occupied Palestinian Territory,136.0,148.0,220.0,288.0,268.0,466.0,651.0,Sweden,2177.0
3464,Pakistan,333.0,423.0,419.0,508.0,632.0,1179.0,2567.0,Sweden,6061.0
3469,Peru,106.0,167.0,316.0,715.0,1025.0,1457.0,2004.0,Sweden,5790.0
3470,Philippines,81.0,171.0,468.0,910.0,1394.0,2193.0,3313.0,Sweden,8530.0
3471,Poland,4509.0,6269.0,7806.0,9239.0,10131.0,13070.0,21264.0,Sweden,72288.0
3472,Portugal,588.0,646.0,692.0,706.0,681.0,761.0,880.0,Sweden,4954.0
3474,Romania,563.0,847.0,1775.0,2310.0,2668.0,3482.0,6132.0,Sweden,17777.0
3475,Russia,143.0,142.0,355.0,1395.0,2893.0,4856.0,7132.0,Sweden,16916.0
3485,Serbia and Montenegro,0.0,0.0,0.0,0.0,0.0,727.0,2669.0,Sweden,3396.0
3489,Slovakia,899.0,932.0,907.0,950.0,1003.0,1093.0,1139.0,Sweden,6923.0
3492,Somalia,30.0,72.0,288.0,1297.0,1580.0,2397.0,6721.0,Sweden,12385.0
3494,Spain,1397.0,1439.0,1644.0,1645.0,1681.0,1926.0,2242.0,Sweden,11974.0
3495,Sri Lanka,85.0,147.0,222.0,391.0,495.0,996.0,1668.0,Sweden,4004.0
3499,Sweden,279742.0,368588.0,0.0,0.0,0.0,0.0,0.0,Sweden,648330.0
3500,Switzerland,488.0,490.0,388.0,478.0,580.0,703.0,736.0,Sweden,3863.0
3501,Syria,331.0,616.0,1425.0,2348.0,3774.0,4806.0,6391.0,Sweden,19691.0
3505,Thailand,118.0,251.0,275.0,633.0,1092.0,2676.0,5502.0,Sweden,10547.0
3510,Tunisia,382.0,485.0,598.0,783.0,676.0,790.0,1054.0,Sweden,4768.0
3511,Turkey,2724.0,4030.0,6497.0,7962.0,8643.0,10312.0,12821.0,Sweden,52989.0
3514,Uganda,150.0,232.0,206.0,328.0,370.0,485.0,711.0,Sweden,2482.0
3515,Ukraine,18.0,18.0,65.0,273.0,658.0,1267.0,2190.0,Sweden,4489.0
3517,United Kingdom,2146.0,2552.0,3222.0,3800.0,4343.0,4774.0,5651.0,Sweden,26488.0
3518,United States,3020.0,3025.0,3754.0,4221.0,4461.0,4741.0,4972.0,Sweden,28194.0
3519,Uruguay,519.0,619.0,597.0,603.0,600.0,673.0,697.0,Sweden,4308.0
3523,Vietnam,204.0,543.0,1289.0,2137.0,2187.0,2679.0,3372.0,Sweden,12411.0
