,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to
22,Cyprus,,,,,,1344.0,1242.0,1140.0,1038.0,936.0,834.0,755.2,676.4,597.6,518.8,440.0,352.0,264.0,176.0,88.0,0.0,217.6,435.2,652.8,870.4,1088.0,1112.8,1137.6,1162.4,1187.2,1212.0,Australia
23,Czech Republic,,,,,,770.0,616.0,462.0,308.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.6,299.2,448.79999999999995,598.4,748.0,764.4,780.8,797.2,813.6,830.0,Australia
24,Denmark,,,,,,389.0,487.2,585.4,683.6,781.8,880.0,774.0,668.0,562.0,456.0,350.0,345.8,341.6,337.4,333.2,329.0,407.6,486.2,564.8,643.4,722.0,738.0,754.0,770.0,786.0,802.0,Australia
25,Ecuador,,,,,,89.0,93.0,97.0,101.0,105.0,109.0,115.2,121.4,127.6,133.8,140.0,123.2,106.4,89.6,72.8,56.0,72.0,88.0,104.0,120.0,136.0,139.2,142.4,145.6,148.8,152.0,Australia
26,Egypt,,,,,,1420.0,1594.2,1768.4,1942.6,2116.8,2291.0,1985.4,1679.8,1374.1999999999998,1068.6,763.0,649.8,536.6,423.4,310.2,197.0,809.4,1421.8,2034.1999999999998,2646.6,3259.0,3333.4,3407.8,3482.2,3556.6,3631.0,Australia
27,El Salvador,,,,,,586.0,907.8,1229.6,1551.4,1873.2,2195.0,1857.6,1520.2,1182.8000000000002,845.4000000000001,508.0,548.8,589.6,630.4,671.2,712.0,723.2,734.4,745.6,756.8,768.0,784.8,801.6,818.4,835.2,852.0,Australia
28,Eritrea,,,,,,0.0,42.6,85.2,127.80000000000001,170.4,213.0,222.6,232.2,241.8,251.4,261.0,256.2,251.4,246.6,241.8,237.0,213.8,190.6,167.4,144.2,121.0,124.0,127.0,130.0,133.0,136.0,Australia
29,Estonia,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,145.4,290.8,436.20000000000005,581.6,727.0,581.6,436.2,290.79999999999995,145.39999999999998,0.0,46.8,93.6,140.39999999999998,187.2,234.0,239.2,244.4,249.6,254.8,260.0,Australia
30,Ethiopia,,,,,,0.0,128.6,257.2,385.79999999999995,514.4,643.0,607.2,571.4,535.6,499.8,464.0,490.8,517.6,544.4,571.2,598.0,538.4,478.8,419.2,359.6,300.0,307.0,314.0,321.0,328.0,335.0,Australia
31,Fiji,,,,,,2227.0,3045.4,3863.8,4682.2,5500.6,6319.0,5830.0,5341.0,4852.0,4363.0,3874.0,3899.0,3924.0,3949.0,3974.0,3999.0,3943.8,3888.6,3833.4,3778.2,3723.0,3805.4,3887.8,3970.2,4052.6,4135.0,Australia
32,Finland,,,,,,299.0,346.4,393.8,441.2,488.6,536.0,428.8,321.6,214.39999999999998,107.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,115.0,230.0,345.0,460.0,575.0,586.8,598.6,610.4,622.2,634.0,Australia
