,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to
261,Senegal,,,,,,85.0,100.0,115.0,130.0,145.0,160.0,184.0,208.0,232.0,256.0,280.0,306.0,332.0,358.0,384.0,410.0,460.0,510.0,560.0,610.0,660.0,654.4,648.8,643.2,637.6,632.0,Canada
262,Serbia and Montenegro,,,,,,0.0,180.0,360.0,540.0,720.0,900.0,720.0,540.0,360.0,180.0,0.0,66.0,132.0,198.0,264.0,330.0,2409.8,4489.6,6569.400000000001,8649.2,10729.0,9888.4,9047.8,8207.2,7366.6,6526.0,Canada
263,Sierra Leone,,,,,,0.0,18.0,36.0,54.0,72.0,90.0,116.0,142.0,168.0,194.0,220.0,183.0,146.0,109.0,72.0,35.0,190.0,345.0,500.0,655.0,810.0,740.6,671.2,601.8,532.4,463.0,Canada
264,Singapore,,,,,,480.0,708.0,936.0,1164.0,1392.0,1620.0,1417.0,1214.0,1011.0,808.0,605.0,742.0,879.0,1016.0,1153.0,1290.0,1188.0,1086.0,984.0,882.0,780.0,1095.8,1411.6,1727.4,2043.2,2359.0,Canada
265,Slovakia,,,,,,327.0,456.4,585.8,715.2,844.6,974.0,1444.2,1914.4,2384.6,2854.8,3325.0,2660.0,1995.0,1330.0,665.0,0.0,323.8,647.6,971.4000000000001,1295.2,1619.0,2067.8,2516.6,2965.4,3414.2,3863.0,Canada
266,Slovenia,,,,,,0.0,62.6,125.2,187.8,250.4,313.0,923.2,1533.4,2143.6000000000004,2753.8,3364.0,2691.2,2018.4,1345.6000000000001,672.8000000000002,0.0,41.0,82.0,123.0,164.0,205.0,610.8,1016.6,1422.4,1828.2,2234.0,Canada
267,Somalia,,,,,,0.0,321.0,642.0,963.0,1284.0,1605.0,1662.0,1719.0,1776.0,1833.0,1890.0,1613.0,1336.0,1059.0,782.0,505.0,780.0,1055.0,1330.0,1605.0,1880.0,1955.0,2030.0,2105.0,2180.0,2255.0,Canada
268,South Africa,,,,,,2090.0,2567.0,3044.0,3521.0,3998.0,4475.0,4232.0,3989.0,3746.0,3503.0,3260.0,3607.0,3954.0,4301.0,4648.0,4995.0,4882.0,4769.0,4656.0,4543.0,4430.0,5487.4,6544.8,7602.200000000001,8659.6,9717.0,Canada
269,Spain,,,,,,175.0,178.0,181.0,184.0,187.0,190.0,257.0,324.0,391.0,458.0,525.0,420.0,315.0,210.0,105.0,0.0,224.0,448.0,672.0,896.0,1120.0,1334.6,1549.2,1763.8,1978.4,2193.0,Canada
270,Sri Lanka,,,,,,1440.0,2514.0,3588.0,4662.0,5736.0,6810.0,6840.0,6870.0,6900.0,6930.0,6960.0,6931.0,6902.0,6873.0,6844.0,6815.0,8382.0,9949.0,11516.0,13083.0,14650.0,14643.4,14636.8,14630.2,14623.6,14617.0,Canada
271,Sudan,,,,,,35.0,106.0,177.0,248.0,319.0,390.0,507.0,624.0,741.0,858.0,975.0,1058.0,1141.0,1224.0,1307.0,1390.0,1451.0,1512.0,1573.0,1634.0,1695.0,1696.8,1698.6,1700.4,1702.2,1704.0,Canada
272,Suriname,,,,,,85.0,68.0,51.0,34.0,17.0,0.0,29.0,58.0,87.0,116.0,145.0,121.0,97.0,73.0,49.0,25.0,28.0,31.0,34.0,37.0,40.0,62.0,84.0,106.0,128.0,150.0,Canada
273,Sweden,,,,,,0.0,108.0,216.0,324.0,432.0,540.0,473.0,406.0,339.0,272.0,205.0,239.0,273.0,307.0,341.0,375.0,331.0,287.0,243.0,199.0,155.0,483.6,812.2,1140.8000000000002,1469.4,1798.0,Canada
274,Switzerland,,,,,,0.0,281.0,562.0,843.0,1124.0,1405.0,1652.0,1899.0,2146.0,2393.0,2640.0,2288.0,1936.0,1584.0,1232.0,880.0,974.0,1068.0,1162.0,1256.0,1350.0,2216.0,3082.0,3948.0,4814.0,5680.0,Canada
275,Syria,,,,,,265.0,587.0,909.0,1231.0,1553.0,1875.0,1797.0,1719.0,1641.0,1563.0,1485.0,1461.0,1437.0,1413.0,1389.0,1365.0,1719.0,2073.0,2427.0,2781.0,3135.0,3212.8,3290.6,3368.4,3446.2,3524.0,Canada
276,Taiwan,,,,,,0.0,912.0,1824.0,2736.0,3648.0,4560.0,6250.0,7940.0,9630.0,11320.0,13010.0,12533.0,12056.0,11579.0,11102.0,10625.0,9553.0,8481.0,7409.0,6337.0,5265.0,7062.6,8860.2,10657.8,12455.4,14253.0,Canada
277,Tanzania,,,,,,1600.0,1744.0,1888.0,2032.0,2176.0,2320.0,2182.0,2044.0,1906.0,1768.0,1630.0,1557.0,1484.0,1411.0,1338.0,1265.0,1228.0,1191.0,1154.0,1117.0,1080.0,1783.8,2487.6,3191.3999999999996,3895.2,4599.0,Canada
278,Thailand,,,,,,205.0,229.0,253.0,277.0,301.0,325.0,293.0,261.0,229.0,197.0,165.0,253.0,341.0,429.0,517.0,605.0,831.0,1057.0,1283.0,1509.0,1735.0,1655.0,1575.0,1495.0,1415.0,1335.0,Canada
279,Togo,,,,,,0.0,7.0,14.0,21.0,28.0,35.0,52.0,69.0,86.0,103.0,120.0,153.0,186.0,219.0,252.0,285.0,312.0,339.0,366.0,393.0,420.0,401.8,383.6,365.4,347.2,329.0,Canada
280,Trinidad and Tobago,,,,,,2270.0,3065.0,3860.0,4655.0,5450.0,6245.0,6557.0,6869.0,7181.0,7493.0,7805.0,6553.0,5301.0,4049.0,2797.0,1545.0,2491.0,3437.0,4383.0,5329.0,6275.0,8032.0,9789.0,11546.0,13303.0,15060.0,Canada
281,Tunisia,,,,,,40.0,150.0,260.0,370.0,480.0,590.0,651.0,712.0,773.0,834.0,895.0,935.0,975.0,1015.0,1055.0,1095.0,1309.0,1523.0,1737.0,1951.0,2165.0,2138.6,2112.2,2085.8,2059.4,2033.0,Canada
282,Turkey,,,,,,660.0,725.0,790.0,855.0,920.0,985.0,919.0,853.0,787.0,721.0,655.0,713.0,771.0,829.0,887.0,945.0,1539.0,2133.0,2727.0,3321.0,3915.0,3834.8,3754.6,3674.4,3594.2,3514.0,Canada
283,Uganda,,,,,,975.0,922.0,869.0,816.0,763.0,710.0,958.0,1206.0,1454.0,1702.0,1950.0,1699.0,1448.0,1197.0,946.0,695.0,653.0,611.0,569.0,527.0,485.0,961.8,1438.6,1915.4,2392.2,2869.0,Canada
284,Ukraine,,,,,,0.0,278.4,556.8,835.1999999999999,1113.6,1392.0,2047.8,2703.6,3359.3999999999996,4015.2,4671.0,5699.2,6727.4,7755.6,8783.8,9812.0,9600.2,9388.4,9176.6,8964.8,8753.0,9607.0,10461.0,11315.0,12169.0,13023.0,Canada
285,United Arab Emirates,,,,,,0.0,5.0,10.0,15.0,20.0,25.0,29.0,33.0,37.0,41.0,45.0,69.0,93.0,117.0,141.0,165.0,332.0,499.0,666.0,833.0,1000.0,894.6,789.2,683.8,578.4,473.0,Canada
286,United Kingdom,,,,,,0.0,5324.0,10648.0,15972.0,21296.0,26620.0,24007.0,21394.0,18781.0,16168.0,13555.0,11566.0,9577.0,7588.0,5599.0,3610.0,8636.0,13662.0,18688.0,23714.0,28740.0,49872.8,71005.6,92138.4,113271.2,134404.0,Canada
287,United States,,,,,,6645.0,8941.0,11237.0,13533.0,15829.0,18125.0,17326.0,16527.0,15728.0,14929.0,14130.0,12365.0,10600.0,8835.0,7070.0,5305.0,7626.0,9947.0,12268.0,14589.0,16910.0,25701.6,34493.2,43284.8,52076.4,60868.0,Canada
288,Uruguay,,,,,,195.0,273.0,351.0,429.0,507.0,585.0,558.0,531.0,504.0,477.0,450.0,443.0,436.0,429.0,422.0,415.0,525.0,635.0,745.0,855.0,965.0,1047.2,1129.4,1211.6,1293.8,1376.0,Canada
289,Uzbekistan,,,,,,0.0,14.2,28.4,42.599999999999994,56.8,71.0,56.8,42.6,28.400000000000006,14.200000000000003,0.0,147.6,295.2,442.79999999999995,590.4,738.0,731.2,724.4,717.6,710.8,704.0,696.8,689.6,682.4,675.2,668.0,Canada
290,Venezuela,,,,,,400.0,450.0,500.0,550.0,600.0,650.0,755.0,860.0,965.0,1070.0,1175.0,1156.0,1137.0,1118.0,1099.0,1080.0,1447.0,1814.0,2181.0,2548.0,2915.0,2864.6,2814.2,2763.8,2713.4,2663.0,Canada
291,Vietnam,,,,,,5065.0,5416.0,5767.0,6118.0,6469.0,6820.0,7279.0,7738.0,8197.0,8656.0,9115.0,9501.0,9887.0,10273.0,10659.0,11045.0,12395.0,13745.0,15095.0,16445.0,17795.0,18523.4,19251.8,19980.2,20708.6,21437.0,Canada
292,Yemen,,,,,,0.0,32.0,64.0,96.0,128.0,160.0,151.0,142.0,133.0,124.0,115.0,120.0,125.0,130.0,135.0,140.0,129.0,118.0,107.0,96.0,85.0,111.8,138.6,165.4,192.2,219.0,Canada
293,Zambia,,,,,,120.0,172.0,224.0,276.0,328.0,380.0,345.0,310.0,275.0,240.0,205.0,249.0,293.0,337.0,381.0,425.0,406.0,387.0,368.0,349.0,330.0,393.8,457.6,521.4,585.2,649.0,Canada
294,Zimbabwe,,,,,,225.0,289.0,353.0,417.0,481.0,545.0,568.0,591.0,614.0,637.0,660.0,633.0,606.0,579.0,552.0,525.0,903.0,1281.0,1659.0,2037.0,2415.0,2304.4,2193.8,2083.2,1972.6,1862.0,Canada
295,Algeria,,,,,,206.0,232.6,259.2,285.8,312.4,339.0,327.2,315.4,303.6,291.8,280.0,301.6,323.2,344.8,366.4,388.0,316.6,245.2,173.79999999999998,102.39999999999998,31.0,49.6,68.2,86.80000000000001,105.4,124.0,Switzerland
296,Argentina,,,,,,486.0,524.6,563.2,601.8,640.4,679.0,580.0,481.0,382.0,283.0,184.0,198.0,212.0,226.0,240.0,254.0,211.0,168.0,125.0,82.0,39.0,56.4,73.8,91.19999999999999,108.6,126.0,Switzerland
297,Australia,,,,,,228.0,246.2,264.4,282.6,300.8,319.0,304.2,289.4,274.6,259.8,245.0,267.4,289.8,312.2,334.6,357.0,291.0,225.0,159.0,93.0,27.0,39.6,52.2,64.8,77.4,90.0,Switzerland
298,Austria,,,,,,0.0,118.8,237.6,356.4,475.2,594.0,656.6,719.2,781.8,844.4,907.0,971.8,1036.6,1101.4,1166.2,1231.0,1023.0,815.0,607.0,399.0,191.0,293.4,395.8,498.20000000000005,600.6,703.0,Switzerland
299,Belgium,,,,,,333.0,401.0,469.0,537.0,605.0,673.0,689.6,706.2,722.8,739.4,756.0,820.4,884.8,949.2,1013.6,1078.0,887.8,697.6,507.4000000000001,317.20000000000005,127.0,184.2,241.4,298.6,355.8,413.0,Switzerland
300,Bosnia and Herzegovina,,,,,,407.0,451.4,495.8,540.2,584.6,629.0,511.2,393.4,275.6,157.8,40.0,194.4,348.8,503.20000000000005,657.6,812.0,676.6,541.2,405.79999999999995,270.4,135.0,142.6,150.2,157.8,165.4,173.0,Switzerland
301,Brazil,,,,,,533.0,573.0,613.0,653.0,693.0,733.0,695.8,658.6,621.4,584.2,547.0,607.6,668.2,728.8,789.4,850.0,698.4,546.8,395.20000000000005,243.60000000000002,92.0,123.6,155.2,186.8,218.4,250.0,Switzerland
302,Bulgaria,,,,,,274.0,295.6,317.2,338.8,360.4,382.0,349.4,316.8,284.2,251.6,219.0,243.4,267.8,292.2,316.6,341.0,280.8,220.6,160.39999999999998,100.19999999999999,40.0,54.6,69.2,83.8,98.4,113.0,Switzerland
303,Canada,,,,,,136.0,167.6,199.2,230.8,262.4,294.0,380.4,466.8,553.2,639.6,726.0,797.2,868.4,939.6,1010.8,1082.0,883.4,684.8,486.20000000000005,287.6,89.0,125.2,161.4,197.60000000000002,233.8,270.0,Switzerland
304,Chile,,,,,,140.0,159.0,178.0,197.0,216.0,235.0,212.6,190.2,167.8,145.4,123.0,134.0,145.0,156.0,167.0,178.0,148.0,118.0,88.0,58.0,28.0,40.6,53.2,65.8,78.4,91.0,Switzerland
305,China,,,,,,289.0,315.0,341.0,367.0,393.0,419.0,433.2,447.4,461.6,475.8,490.0,542.0,594.0,646.0,698.0,750.0,612.6,475.2,337.79999999999995,200.39999999999998,63.0,88.0,113.0,138.0,163.0,188.0,Switzerland
306,Colombia,,,,,,263.0,283.2,303.4,323.6,343.8,364.0,351.6,339.2,326.8,314.4,302.0,334.0,366.0,398.0,430.0,462.0,378.6,295.2,211.79999999999998,128.39999999999998,45.0,61.4,77.8,94.19999999999999,110.6,127.0,Switzerland
307,"Congo, Dem. Rep. of the",,,,,,270.0,293.4,316.8,340.2,363.6,387.0,323.4,259.8,196.2,132.6,69.0,72.8,76.6,80.4,84.2,88.0,72.6,57.2,41.8,26.4,11.0,19.4,27.8,36.2,44.6,53.0,Switzerland
308,Croatia,,,,,,417.0,457.2,497.4,537.6,577.8,618.0,621.8,625.6,629.4,633.2,637.0,648.0,659.0,670.0,681.0,692.0,563.4,434.8,306.20000000000005,177.60000000000002,49.0,78.0,107.0,136.0,165.0,194.0,Switzerland
309,Czech Republic,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,32.4,48.599999999999994,64.8,81.0,128.0,175.0,222.0,269.0,316.0,Switzerland
310,Denmark,,,,,,114.0,134.0,154.0,174.0,194.0,214.0,224.4,234.8,245.2,255.6,266.0,288.8,311.6,334.4,357.2,380.0,311.6,243.2,174.79999999999998,106.39999999999998,38.0,54.8,71.6,88.4,105.2,122.0,Switzerland
311,Egypt,,,,,,793.0,859.8,926.6,993.4,1060.2,1127.0,927.6,728.2,528.8,329.4,130.0,133.2,136.4,139.6,142.8,146.0,123.4,100.8,78.19999999999999,55.599999999999994,33.0,55.0,77.0,99.0,121.0,143.0,Switzerland
312,Finland,,,,,,61.0,89.0,117.0,145.0,173.0,201.0,211.2,221.4,231.6,241.8,252.0,275.8,299.6,323.4,347.2,371.0,309.2,247.4,185.60000000000002,123.80000000000001,62.0,82.8,103.6,124.4,145.2,166.0,Switzerland
313,France,,,,,,956.0,1324.4,1692.8,2061.2,2429.6,2798.0,3052.0,3306.0,3560.0,3814.0,4068.0,4414.2,4760.4,5106.6,5452.8,5799.0,4772.8,3746.6,2720.3999999999996,1694.1999999999998,668.0,967.4,1266.8,1566.1999999999998,1865.6,2165.0,Switzerland
314,Germany,,,,,,1171.0,1876.2,2581.4,3286.6000000000004,3991.8,4697.0,5638.0,6579.0,7520.0,8461.0,9402.0,10147.6,10893.2,11638.8,12384.4,13130.0,10760.2,8390.4,6020.599999999999,3650.7999999999993,1281.0,1931.4,2581.8,3232.2,3882.6,4533.0,Switzerland
315,Greece,,,,,,161.0,183.6,206.2,228.8,251.4,274.0,243.0,212.0,181.0,150.0,119.0,125.6,132.2,138.8,145.4,152.0,127.4,102.8,78.19999999999999,53.599999999999994,29.0,45.0,61.0,77.0,93.0,109.0,Switzerland
316,Hungary,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,34.0,51.0,68.0,85.0,131.0,177.0,223.0,269.0,315.0,Switzerland
317,India,,,,,,254.0,290.4,326.8,363.2,399.6,436.0,444.8,453.6,462.4,471.2,480.0,519.0,558.0,597.0,636.0,675.0,551.2,427.4,303.6,179.8,56.0,86.0,116.0,146.0,176.0,206.0,Switzerland
318,Indonesia,,,,,,229.0,247.4,265.8,284.2,302.6,321.0,270.4,219.8,169.2,118.6,68.0,73.6,79.2,84.8,90.4,96.0,80.2,64.4,48.599999999999994,32.8,17.0,25.2,33.4,41.599999999999994,49.8,58.0,Switzerland
319,Iran,,,,,,318.0,351.0,384.0,417.0,450.0,483.0,439.4,395.8,352.2,308.6,265.0,285.2,305.4,325.6,345.8,366.0,301.0,236.0,171.0,106.0,41.0,62.8,84.6,106.4,128.2,150.0,Switzerland
320,Iraq,,,,,,84.0,91.2,98.4,105.6,112.8,120.0,133.0,146.0,159.0,172.0,185.0,200.0,215.0,230.0,245.0,260.0,209.4,158.8,108.19999999999999,57.599999999999994,7.0,13.6,20.2,26.799999999999997,33.4,40.0,Switzerland
321,Ireland,,,,,,175.0,189.0,203.0,217.0,231.0,245.0,222.4,199.8,177.2,154.6,132.0,144.4,156.8,169.2,181.6,194.0,159.4,124.8,90.19999999999999,55.599999999999994,21.0,29.0,37.0,45.0,53.0,61.0,Switzerland
322,Israel,,,,,,0.0,6.2,12.4,18.6,24.8,31.0,40.8,50.6,60.400000000000006,70.2,80.0,84.8,89.6,94.4,99.2,104.0,85.8,67.6,49.400000000000006,31.200000000000003,13.0,20.4,27.8,35.2,42.6,50.0,Switzerland
323,Italy,,,,,,3358.0,3724.4,4090.8,4457.2,4823.6,5190.0,4495.6,3801.2,3106.8,2412.4,1718.0,1823.8,1929.6,2035.4,2141.2,2247.0,1858.0,1469.0,1080.0,691.0,302.0,503.4,704.8,906.2,1107.6,1309.0,Switzerland
324,Japan,,,,,,228.0,262.0,296.0,330.0,364.0,398.0,364.0,330.0,296.0,262.0,228.0,253.8,279.6,305.4,331.2,357.0,299.8,242.6,185.39999999999998,128.2,71.0,96.0,121.0,146.0,171.0,196.0,Switzerland
325,Korea,,,,,,105.0,112.8,120.6,128.4,136.2,144.0,148.4,152.8,157.2,161.6,166.0,184.6,203.2,221.8,240.4,259.0,212.0,165.0,118.0,71.0,24.0,32.2,40.4,48.599999999999994,56.8,65.0,Switzerland
326,Lebanon,,,,,,390.0,423.0,456.0,489.0,522.0,555.0,471.6,388.2,304.79999999999995,221.39999999999998,138.0,148.2,158.4,168.6,178.8,189.0,155.8,122.6,89.39999999999999,56.19999999999999,23.0,36.0,49.0,62.0,75.0,88.0,Switzerland
327,Liechtenstein,,,,,,39.0,46.6,54.2,61.8,69.4,77.0,81.2,85.4,89.6,93.8,98.0,106.0,114.0,122.0,130.0,138.0,112.4,86.8,61.19999999999999,35.599999999999994,10.0,16.0,22.0,28.0,34.0,40.0,Switzerland
328,Luxembourg,,,,,,143.0,154.6,166.2,177.8,189.4,201.0,171.8,142.6,113.4,84.2,55.0,58.8,62.6,66.4,70.2,74.0,61.4,48.8,36.2,23.6,11.0,15.8,20.6,25.4,30.2,35.0,Switzerland
329,Macedonia,,,,,,173.0,194.4,215.8,237.2,258.6,280.0,277.2,274.4,271.6,268.8,266.0,286.6,307.2,327.8,348.4,369.0,307.2,245.4,183.60000000000002,121.80000000000001,60.0,71.4,82.8,94.2,105.6,117.0,Switzerland
330,Mexico,,,,,,201.0,216.4,231.8,247.2,262.6,278.0,262.6,247.2,231.8,216.4,201.0,222.0,243.0,264.0,285.0,306.0,251.4,196.8,142.2,87.6,33.0,44.8,56.6,68.4,80.2,92.0,Switzerland
331,Morocco,,,,,,509.0,551.6,594.2,636.8,679.4,722.0,660.8,599.6,538.4,477.2,416.0,451.0,486.0,521.0,556.0,591.0,481.2,371.4,261.6,151.8,42.0,65.6,89.2,112.80000000000001,136.4,160.0,Switzerland
332,Netherlands,,,,,,631.0,731.0,831.0,931.0,1031.0,1131.0,1099.8,1068.6,1037.4,1006.2,975.0,1050.4,1125.8,1201.2,1276.6,1352.0,1112.0,872.0,632.0,392.0,152.0,229.2,306.4,383.6,460.8,538.0,Switzerland
333,Norway,,,,,,245.0,265.2,285.4,305.6,325.8,346.0,298.4,250.8,203.2,155.6,108.0,117.0,126.0,135.0,144.0,153.0,126.4,99.8,73.19999999999999,46.599999999999994,20.0,29.2,38.4,47.599999999999994,56.8,66.0,Switzerland
334,Pakistan,,,,,,110.0,119.6,129.2,138.8,148.4,158.0,141.6,125.2,108.80000000000001,92.4,76.0,81.2,86.4,91.6,96.8,102.0,82.6,63.2,43.800000000000004,24.400000000000006,5.0,9.2,13.4,17.6,21.8,26.0,Switzerland
335,Peru,,,,,,289.0,311.4,333.8,356.2,378.6,401.0,389.0,377.0,365.0,353.0,341.0,377.2,413.4,449.6,485.8,522.0,427.6,333.2,238.79999999999995,144.39999999999998,50.0,68.4,86.8,105.19999999999999,123.6,142.0,Switzerland
336,Philippines,,,,,,374.0,400.4,426.8,453.2,479.6,506.0,469.8,433.6,397.4,361.2,325.0,362.0,399.0,436.0,473.0,510.0,421.8,333.6,245.39999999999998,157.2,69.0,91.0,113.0,135.0,157.0,179.0,Switzerland
337,Poland,,,,,,643.0,733.8,824.6,915.4,1006.2,1097.0,934.0,771.0,608.0,445.0,282.0,302.4,322.8,343.2,363.6,384.0,332.0,280.0,228.0,176.0,124.0,173.4,222.8,272.2,321.6,371.0,Switzerland
338,Portugal,,,,,,485.0,528.2,571.4,614.6,657.8,701.0,580.2,459.4,338.6,217.8,97.0,104.2,111.4,118.6,125.8,133.0,114.6,96.2,77.80000000000001,59.400000000000006,41.0,59.4,77.8,96.19999999999999,114.6,133.0,Switzerland
339,Romania,,,,,,353.0,408.4,463.8,519.2,574.6,630.0,564.0,498.0,432.0,366.0,300.0,325.8,351.6,377.4,403.2,429.0,360.6,292.2,223.79999999999998,155.39999999999998,87.0,123.0,159.0,195.0,231.0,267.0,Switzerland
340,Russia,,,,,,313.0,336.2,359.4,382.6,405.8,429.0,460.6,492.2,523.8,555.4,587.0,656.4,725.8,795.2,864.6,934.0,759.8,585.6,411.4000000000001,237.20000000000005,63.0,89.6,116.2,142.8,169.4,196.0,Switzerland
341,Serbia and Montenegro,,,,,,947.0,1050.6,1154.2,1257.8,1361.4,1465.0,1494.2,1523.4,1552.6,1581.8,1611.0,1649.8,1688.6,1727.4,1766.2,1805.0,1447.2,1089.4,731.5999999999999,373.79999999999995,16.0,118.2,220.4,322.6,424.8,527.0,Switzerland
342,Slovakia,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,20.4,30.599999999999998,40.8,51.0,66.6,82.2,97.8,113.4,129.0,Switzerland
343,Slovenia,,,,,,178.0,196.2,214.4,232.6,250.8,269.0,267.6,266.2,264.8,263.4,262.0,279.8,297.6,315.4,333.2,351.0,291.2,231.4,171.60000000000002,111.80000000000001,52.0,66.0,80.0,94.0,108.0,122.0,Switzerland
344,South Africa,,,,,,228.0,246.2,264.4,282.6,300.8,319.0,315.4,311.8,308.2,304.6,301.0,328.0,355.0,382.0,409.0,436.0,354.8,273.6,192.39999999999998,111.19999999999999,30.0,43.8,57.6,71.4,85.2,99.0,Switzerland
345,Spain,,,,,,882.0,975.0,1068.0,1161.0,1254.0,1347.0,1154.8,962.6,770.4000000000001,578.2,386.0,416.6,447.2,477.8,508.4,539.0,453.0,367.0,281.0,195.0,109.0,162.6,216.2,269.8,323.4,377.0,Switzerland
346,Sri Lanka,,,,,,186.0,202.0,218.0,234.0,250.0,266.0,235.0,204.0,173.0,142.0,111.0,121.2,131.4,141.6,151.8,162.0,132.2,102.4,72.6,42.8,13.0,20.6,28.2,35.8,43.4,51.0,Switzerland
347,Sweden,,,,,,236.0,287.2,338.4,389.6,440.8,492.0,471.4,450.8,430.2,409.6,389.0,419.4,449.8,480.2,510.6,541.0,449.8,358.6,267.4,176.2,85.0,121.8,158.6,195.39999999999998,232.2,269.0,Switzerland
348,Syria,,,,,,134.0,145.2,156.4,167.6,178.8,190.0,164.2,138.4,112.6,86.8,61.0,65.4,69.8,74.2,78.6,83.0,68.0,53.0,38.0,23.0,8.0,12.6,17.2,21.799999999999997,26.4,31.0,Switzerland
349,Thailand,,,,,,109.0,117.0,125.0,133.0,141.0,149.0,151.2,153.4,155.6,157.8,160.0,179.8,199.6,219.4,239.2,259.0,213.0,167.0,121.0,75.0,29.0,37.4,45.8,54.2,62.6,71.0,Switzerland
350,Tunisia,,,,,,204.0,224.0,244.0,264.0,284.0,304.0,286.8,269.6,252.4,235.2,218.0,233.0,248.0,263.0,278.0,293.0,237.6,182.2,126.80000000000001,71.4,16.0,28.6,41.2,53.8,66.4,79.0,Switzerland
351,Turkey,,,,,,555.0,612.6,670.2,727.8,785.4,843.0,775.2,707.4,639.6,571.8,504.0,542.4,580.8,619.2,657.6,696.0,567.6,439.2,310.79999999999995,182.39999999999998,54.0,89.2,124.4,159.60000000000002,194.8,230.0,Switzerland
352,Ukraine,,,,,,111.0,118.2,125.4,132.6,139.8,147.0,157.6,168.2,178.8,189.4,200.0,219.6,239.2,258.8,278.4,298.0,239.2,180.4,121.60000000000002,62.80000000000001,4.0,11.8,19.6,27.4,35.2,43.0,Switzerland
353,United Kingdom,,,,,,194.0,330.6,467.2,603.8,740.4,877.0,1036.0,1195.0,1354.0,1513.0,1672.0,1799.8,1927.6,2055.4,2183.2,2311.0,1895.6,1480.2,1064.8000000000002,649.4000000000001,234.0,354.2,474.4,594.6,714.8,835.0,Switzerland
354,United States,,,,,,239.0,369.8,500.6,631.4000000000001,762.2,893.0,998.8,1104.6,1210.4,1316.2,1422.0,1538.4,1654.8,1771.2,1887.6,2004.0,1656.0,1308.0,960.0,612.0,264.0,377.6,491.2,604.8,718.4,832.0,Switzerland
355,Venezuela,,,,,,114.0,122.8,131.6,140.4,149.2,158.0,151.2,144.4,137.6,130.8,124.0,135.8,147.6,159.4,171.2,183.0,149.6,116.2,82.80000000000001,49.400000000000006,16.0,22.6,29.2,35.8,42.4,49.0,Switzerland
356,Vietnam,,,,,,157.0,179.2,201.4,223.6,245.8,268.0,256.2,244.4,232.6,220.8,209.0,224.8,240.6,256.4,272.2,288.0,236.6,185.2,133.8,82.4,31.0,47.0,63.0,79.0,95.0,111.0,Switzerland
357,Algeria,,,,,,43.0,90.6,138.2,185.8,233.4,281.0,268.0,255.0,242.0,229.0,216.0,236.0,256.0,276.0,296.0,316.0,318.2,320.4,322.6,324.8,327.0,379.8,432.6,485.4,538.2,591.0,Chile
358,Argentina,,,,,,406.0,1280.8,2155.6,3030.3999999999996,3905.2,4780.0,4613.8,4447.6,4281.4,4115.2,3949.0,4124.8,4300.6,4476.4,4652.2,4828.0,5116.8,5405.6,5694.4,5983.2,6272.0,7309.8,8347.6,9385.4,10423.2,11461.0,Chile
359,Australia,,,,,,22.0,47.8,73.6,99.4,125.2,151.0,151.6,152.2,152.8,153.4,154.0,170.4,186.8,203.2,219.6,236.0,235.8,235.6,235.4,235.2,235.0,273.8,312.6,351.4,390.2,429.0,Chile
360,Austria,,,,,,0.0,26.8,53.6,80.4,107.2,134.0,132.0,130.0,128.0,126.0,124.0,117.0,110.0,103.0,96.0,89.0,117.8,146.6,175.4,204.2,233.0,271.4,309.8,348.2,386.6,425.0,Chile
361,Belgium,,,,,,111.0,253.2,395.4,537.5999999999999,679.8,822.0,783.8,745.6,707.4,669.2,631.0,676.2,721.4,766.6,811.8,857.0,877.2,897.4,917.6,937.8,958.0,1114.0,1270.0,1426.0,1582.0,1738.0,Chile
362,Bolivia,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.6,201.2,301.79999999999995,402.4,503.0,553.4,603.8,654.2,704.6,755.0,767.4,779.8,792.2,804.6,817.0,954.8,1092.6,1230.4,1368.2,1506.0,Chile
363,Brazil,,,,,,94.0,293.6,493.2,692.8,892.4,1092.0,1111.4,1130.8,1150.2,1169.6,1189.0,1313.6,1438.2,1562.8,1687.4,1812.0,1812.8,1813.6,1814.4,1815.2,1816.0,2115.6,2415.2,2714.8,3014.4,3314.0,Chile
364,Bulgaria,,,,,,6.0,13.4,20.8,28.200000000000003,35.6,43.0,116.2,189.4,262.6,335.8,409.0,518.2,627.4,736.6,845.8,955.0,870.2,785.4,700.6,615.8,531.0,617.0,703.0,789.0,875.0,961.0,Chile
365,Canada,,,,,,21.0,64.2,107.4,150.60000000000002,193.8,237.0,238.6,240.2,241.8,243.4,245.0,265.6,286.2,306.8,327.4,348.0,354.2,360.4,366.6,372.8,379.0,442.0,505.0,568.0,631.0,694.0,Chile
