,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
19,"China, Macao SAR",0.0,80.8,161.6,242.39999999999998,323.2,404.0,499.6,595.2,690.8,786.4,882.0,898.2,914.4,930.6,946.8,963.0,928.0,893.0,858.0,823.0,788.0,819.8,851.6,883.4,915.2,947.0,982.2,1017.4,1052.6,1087.8,1123.0,Australia,5107.0
20,Colombia,498.0,530.6,563.2,595.8,628.4,661.0,730.0,799.0,868.0,937.0,1006.0,1056.2,1106.4,1156.6,1206.8,1257.0,1457.2,1657.4,1857.6,2057.8,2258.0,2347.8,2437.6,2527.4,2617.2,2707.0,2806.6,2906.2,3005.8,3105.4,3205.0,Australia,11592.0
21,Croatia,11702.0,12134.8,12567.6,13000.4,13433.2,13866.0,13917.0,13968.0,14019.0,14070.0,14121.0,15716.2,17311.4,18906.6,20501.8,22097.0,20588.4,19079.8,17571.2,16062.6,14554.0,15092.0,15630.0,16168.0,16706.0,17244.0,17843.0,18442.0,19041.0,19640.0,20239.0,Australia,113823.0
22,Cyprus,3661.0,3929.8,4198.6,4467.4,4736.2,5005.0,5171.8,5338.6,5505.4,5672.2,5839.0,5927.0,6015.0,6103.0,6191.0,6279.0,6210.6,6142.2,6073.8,6005.4,5937.0,6154.6,6372.2,6589.8,6807.4,7025.0,7267.4,7509.8,7752.2,7994.6,8237.0,Australia,41983.0
23,Czech Republic,5522.0,5676.0,5830.0,5984.0,6138.0,6292.0,6231.8,6171.6,6111.4,6051.2,5991.0,5990.0,5989.0,5988.0,5987.0,5986.0,5571.8,5157.6,4743.4,4329.2,3915.0,4064.6,4214.2,4363.8,4513.4,4663.0,4829.0,4995.0,5161.0,5327.0,5493.0,Australia,37862.0
24,Denmark,1772.0,1849.8,1927.6,2005.4,2083.2,2161.0,2337.0,2513.0,2689.0,2865.0,3041.0,3111.0,3181.0,3251.0,3321.0,3391.0,3456.8,3522.6,3588.4,3654.2,3720.0,3864.4,4008.8,4153.2,4297.6,4442.0,4602.4,4762.8,4923.2,5083.6,5244.0,Australia,23771.0
25,Ecuador,307.0,324.8,342.6,360.4,378.2,396.0,417.8,439.6,461.4,483.2,505.0,533.0,561.0,589.0,617.0,645.0,656.2,667.4,678.6,689.8,701.0,728.2,755.4,782.6,809.8,837.0,867.4,897.8,928.2,958.6,989.0,Australia,4380.0
26,Egypt,13352.0,13636.0,13920.0,14204.0,14488.0,14772.0,15230.2,15688.4,16146.6,16604.8,17063.0,17215.6,17368.2,17520.8,17673.4,17826.0,17865.4,17904.8,17944.2,17983.6,18023.0,18674.8,19326.6,19978.4,20630.2,21282.0,22008.2,22734.4,23460.6,24186.8,24913.0,Australia,127231.0
27,El Salvador,0.0,117.2,234.4,351.6,468.8,586.0,1025.0,1464.0,1903.0,2342.0,2781.0,2882.6,2984.2,3085.8,3187.4,3289.0,3431.4,3573.8,3716.2,3858.6,4001.0,4154.6,4308.2,4461.8,4615.4,4769.0,4939.4,5109.8,5280.2,5450.6,5621.0,Australia,21047.0
28,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,42.6,85.2,127.80000000000001,170.4,213.0,265.2,317.4,369.6,421.8,474.0,521.4,568.8,616.2,663.6,711.0,735.2,759.4,783.6,807.8,832.0,859.2,886.4,913.6,940.8,968.0,Australia,3198.0
29,Estonia,3244.0,3167.4,3090.8,3014.2,2937.6,2861.0,2505.8,2150.6,1795.4,1440.2,1085.0,1230.4,1375.8,1521.2,1666.6,1812.0,1681.0,1550.0,1419.0,1288.0,1157.0,1203.8,1250.6,1297.4,1344.2,1391.0,1443.0,1495.0,1547.0,1599.0,1651.0,Australia,13201.0
30,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,128.6,257.2,385.79999999999995,514.4,643.0,735.8,828.6,921.4,1014.2,1107.0,1226.6,1346.2,1465.8,1585.4,1705.0,1765.0,1825.0,1885.0,1945.0,2005.0,2072.0,2139.0,2206.0,2273.0,2340.0,Australia,7800.0
31,Fiji,2843.0,3288.4,3733.8,4179.2,4624.6,5070.0,6333.8,7597.6,8861.4,10125.2,11389.0,12163.8,12938.6,13713.4,14488.2,15263.0,16062.8,16862.6,17662.4,18462.2,19262.0,20006.6,20751.2,21495.8,22240.4,22985.0,23812.0,24639.0,25466.0,26293.0,27120.0,Australia,103932.0
32,Finland,2073.0,2132.8,2192.6,2252.4,2312.2,2372.0,2479.2,2586.4,2693.6,2800.8,2908.0,2895.6,2883.2,2870.8,2858.4,2846.0,2821.6,2797.2,2772.8,2748.4,2724.0,2839.0,2954.0,3069.0,3184.0,3299.0,3425.8,3552.6,3679.4,3806.2,3933.0,Australia,20155.0
33,France,4528.0,4779.6,5031.2,5282.8,5534.4,5786.0,6100.4,6414.8,6729.2,7043.6,7358.0,7511.8,7665.6,7819.4,7973.2,8127.0,8377.4,8627.8,8878.2,9128.6,9379.0,9747.8,10116.6,10485.4,10854.2,11223.0,11632.4,12041.8,12451.2,12860.6,13270.0,Australia,59671.0
