"COUNTRY","Country","DLVLEDUC","Level of education","DPROGTYP","Programme orientation","DSRCTYP","Funding source","DTRNSTYP","Type of transactions","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,16878.3,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,18422.2,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,19995.3,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,21184.83,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,23270.61,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2010","2010","AUD","Australian Dollar","6","Millions",,,25378.25,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","1997","1997","AUD","Australian Dollar","6","Millions",,,2287.6,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,3420.9,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,3944.3,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,4411.1,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,4333.67,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,4647.22,,
