,Country Name,variable,value
178,Guyana,1982,1404.461
179,"Hong Kong SAR, China",1982,19702.791
180,Hungary,1982,86871.23
181,Iceland,1982,1598.812
182,"Iran, Islamic Rep.",1982,138007.545
183,Ireland,1982,25547.989
184,Israel,1982,24081.189
185,Italy,1982,369681.271
186,Jamaica,1982,6219.232
187,Japan,1982,900200.829
188,Kenya,1982,4693.76
189,Kyrgyz Republic,1982,11133.012
190,Latvia,1982,14143.619
191,Lesotho,1982,1474.134
192,Lithuania,1982,22148.68
193,"Macao SAR, China",1982,484.044
194,Madagascar,1982,1015.759
195,Malaysia,1982,30571.779
196,Mali,1982,366.7
197,Malta,1982,1312.786
198,Mauritius,1982,502.379
199,Mexico,1982,304837.71
200,Nepal,1982,443.707
201,Netherlands,1982,134322.21
202,New Zealand,1982,18239.658
203,Niger,1982,748.068
204,Norway,1982,41052.065
205,Oman,1982,5735.188
206,Pakistan,1982,37385.065
207,Panama,1982,3292.966
208,Peru,1982,23670.485
209,Poland,1982,422211.046
210,Portugal,1982,29255.326
211,Saudi Arabia,1982,158091.704
212,Senegal,1982,3054.611
213,Slovak Republic,1982,44183.683
214,Slovenia,1982,12478.801
215,South Africa,1982,280749.187
216,Spain,1982,209906.414
217,Sri Lanka,1982,4499.409
218,St. Lucia,1982,113.677
219,Eswatini,1982,436.373
220,Sweden,1982,62291.329
221,Switzerland,1982,36629.663
222,Thailand,1982,37909.446
223,Togo,1982,733.4
224,Tunisia,1982,9526.866
225,United Kingdom,1982,548520.861
226,Uruguay,1982,4873.443
227,Zambia,1982,3520.32
228,Argentina,1983,105213.564
229,Armenia,1983,5826.863
230,Australia,1983,225003.453
231,Austria,1983,51983.392
232,Azerbaijan,1983,56240.779
233,Bangladesh,1983,8236.082
234,Belgium,1983,101630.905
235,Benin,1983,454.708
236,Brazil,1983,166632.147
237,Bulgaria,1983,90365.881
238,Burundi,1983,205.352
239,Cameroon,1983,6589.599
240,Canada,1983,408687.15
241,Chile,1983,20839.561
242,Colombia,1983,49449.495
243,Costa Rica,1983,2104.858
244,Cote d'Ivoire,1983,4840.44
245,Cyprus,1983,3098.615
246,Czech Republic,1983,138176.227
247,Denmark,1983,50175.561
248,Estonia,1983,23879.504
249,Ethiopia,1983,1844.501
250,Finland,1983,41576.446
251,"Gambia, The",1983,161.348
252,Ghana,1983,3655.999
253,Guinea,1983,953.42
254,Guyana,1983,1246.78
255,"Hong Kong SAR, China",1983,21015.577
256,Hungary,1983,89137.436
257,Iceland,1983,1547.474
258,"Iran, Islamic Rep.",1983,149785.949
259,Ireland,1983,25709.337
260,Israel,1983,23938.176
261,Italy,1983,361364.515
262,Jamaica,1983,6450.253
