,country,co2,expRD,expEd,expHealth,gdp,year
91,Lao PDR,187.017,0.0371,1.23305964,4.27513599,1757142805.7142856,0
92,Latvia,14143.618999999999,0.39723,2.76619649,5.45028639,5785775812.892184,0
94,Lesotho,1474.134,0.04185,2.94303799,5.85720491,431561376.4766307,0
96,Lithuania,22148.68,0.49155,4.16442347,6.191749099999999,7867140395.33705,0
97,Luxembourg,11026.669,1.57673,4.91304493,5.90136147,6232005793.902607,0
98,North Macedonia,11037.67,0.35911,4.71220732,8.86991501,4699646643.109541,0
99,Madagascar,1617.1470000000002,0.22032,2.1105423,5.23104906,5201818349.002815,0
101,Malaysia,27997.545,0.21645,1.17325473,2.52807355,24488033442.050625,0
103,Mali,392.369,0.21855,1.28954971,5.466720099999999,1759690811.6069891,0
104,Malta,1023.0930000000001,0.2385,4.73784733,6.59914446,1250242107.8796918,0
106,Mauritania,630.724,0.014190000000000001,0.64611107,4.65043879,1047924649.1177939,0
107,Mauritius,590.387,0.27899,1.55006421,2.89581966,1131788191.507359,0
108,Mexico,268453.73600000003,0.25067,2.01177883,4.44912481,205139086956.52173,0
110,Moldova,20868.897,0.8729600000000001,2.41749001,4.93830538,1752979926.41489,0
112,Mongolia,6879.2919999999995,0.16785999999999998,3.61939454,4.87263823,2310099100.0,0
113,Morocco,15944.116000000002,0.27341,0.98038715,3.97807431,21728770055.37774,0
114,Mozambique,3208.625,0.42101000000000005,1.33954239,2.61787701,3633406064.8309507,0
115,Myanmar,5526.169,0.05985,0.22389039,1.70140898,8905066163.586428,0
116,Namibia,40.336999999999996,0.14165,4.85066414,9.79146862,2422096074.584579,0
118,Nepal,542.716,0.05439,0.55427396,3.57357407,1945916583.3333333,0
119,Netherlands,177508.46899999998,1.84093,5.320714,7.7069602,195152092662.3809,0
120,New Zealand,17458.587,1.05649,5.56446981,7.470022200000001,23244547384.67477,0
121,Nicaragua,2027.851,0.0651,2.57731438,5.23883677,2189347367.526316,0
123,Nigeria,68154.86200000001,0.13223,0.58559412,3.1973834,64201788122.60536,0
124,Norway,38052.459,1.59352,6.29948092,7.71215487,64439382896.015564,0
125,Oman,6046.883000000001,0.13645,2.50450325,3.06354713,5981760277.9386215,0
126,Pakistan,32067.915,0.15565,1.01343811,2.88552141,23654444444.444443,0
128,Panama,3124.284,0.3101,4.672492500000001,6.9129467,4614086400.0,0
129,Papua New Guinea,1829.8329999999999,0.031580000000000004,1.66276824,1.97246671,2545983007.899836,0
130,Paraguay,1492.469,0.06699,2.32489133,5.50297928,4448087301.587301,0
131,Peru,24121.526,0.0836,2.31222916,4.6005969,18134029179.639324,0
132,Philippines,37000.03,0.13744,1.40068388,3.15481424,32450541843.065212,0
133,Poland,464575.89700000006,0.64036,3.61403513,5.29816675,65977749036.984436,0
134,Portugal,26985.452999999998,0.5495,5.90206194,8.37818336,32896519823.788544,0
135,Qatar,13098.524,0.4786,1.19545734,2.00865221,7829094613.070824,0
136,Romania,196617.206,0.67472,3.33585477,4.20876122,38413636363.63636,0
137,Russian Federation,3491017.003,0.9659200000000001,2.97662783,5.01481104,554713455149.5016,0
138,Rwanda,495.045,0.66627,0.77055204,4.26349449,1254765349.9318528,0
142,Saudi Arabia,169404.39899999998,0.062329999999999997,3.03455424,4.2115941,164541658298.5959,0
143,Senegal,3351.638,0.2909,1.26322365,3.56931567,4435050396.672623,0
144,Serbia,61066.551,0.7540399999999999,4.25570917,6.50382948,16832598870.056498,0
145,Seychelles,95.34200000000001,0.42525,3.78593802,4.61071825,147357222.77980226,0
