,country,co2,expRD,expEd,expHealth,gdp,year
54,Pakistan,32067.915,0.15565,1.01343811,2.13094997406006,23654444444.444443,1980
55,Panama,3124.284,0.3101,4.6724925,3.53567004203796,4614086400,1980
56,Peru,24121.526,0.0836,2.31222916,3.11879992485046,18134029179.639324,1980
57,Poland,464575.897,0.64036,3.61403513,3.89144992828369,..,1980
58,Portugal,26985.453,0.5495,5.90206194,3.06743001937866,32896519823.788544,1980
59,Saudi Arabia,169404.399,0.06233,3.03455424,3.89024996757507,164541658298.5959,1980
60,Senegal,3351.638,0.2909,1.26322365,2.52794003486633,4435050396.672623,1980
61,Slovak Republic,44183.683,0.89292,4.68998718,5.35694980621338,..,1980
62,Slovenia,12478.801,1.26633,5.57140017,4.43858003616333,..,1980
63,South Africa,228454.1,0.58354,2.73613644,5.16433000564575,82980483390.5057,1980
64,Spain,215003.544,0.78949,4.91906023,3.12818002700806,232766822928.75375,1980
65,Sri Lanka,3410.31,0.18356,2.27740288,2.7041699886322,4024621899.576527,1980
66,St. Lucia,113.677,0.64171,1.8697567,5.53879022598267,170370370.37037036,1980
67,Eswatini,465.709,0.27013,2.41081047,5.29720020294189,542000513.6106831,1980
68,Sweden,71759.523,3.31489,6.18943739,6.53704977035522,142092068280.6885,1980
69,Switzerland,40538.685,2.44857,2.67802835,4.36030006408691,119008334427.40347,1980
70,Thailand,40135.315,0.11918,1.71152949,2.57453989982605,32353440726.885582,1980
71,Togo,718.732,0.23477,0.39248648,5.882080078125,1136408814.196922,1980
72,Tunisia,9493.863,0.54302,2.65892363,5.2351598739624,8744134354.161522,1980
73,United Kingdom,579290.658,1.58684,5.59644794,5.07011985778809,564947710899.3726,1980
74,Uruguay,5837.864,0.26501,4.15722036,2.15950989723206,10163020115.734362,1980
75,Zambia,3531.321,0.01104,3.18158054,4.12670993804932,3829500000,1980
76,Argentina,102041.609,0.41749,4.63411379,2.10251003503799,78676842366.42133,1981
77,Armenia,5826.863,0.18692,0.95468217,1.84843003749847,..,1981
78,Australia,230360.94,1.6665,5.46949816,5.5669150352478045,176642284918.147,1981
79,Austria,56130.769,1.58077,6.82578659,5.36780977249146,71034228443.06204,1981
80,Azerbaijan,56240.779,0.23533,0.86689276,6.05797004699707,..,1981
81,Bangladesh,7931.721,,0.57436872,1.07149994373322,20249694002.44798,1981
82,Belgium,124021.607,1.72963,5.96185923,5.4353199005127,104730018470.23033,1981
83,Benin,429.039,,0.80706608,2.74788999557495,1291119965.1126204,1981
84,Brazil,171806.284,1.04751,3.47024679,4.56816005706787,263561088977.12936,1981
85,Bulgaria,80343.97,0.42201,3.4715004,3.621937990188599,19870000000,1981
86,Burundi,157.681,0.20068,1.46507251,3.34676003456116,969046666.6666666,1981
87,Cameroon,5342.819,,0.67430598,2.98497009277344,7636345827.343083,1981
88,Canada,430003.421,1.61209,6.02896738,6.43061017990112,306214863624.98956,1981
89,Chile,24554.232,0.30957,2.51822186,4.91429996490479,34509878043.589745,1981
90,Colombia,44458.708,0.29923,4.20017815,2.59723997116089,36388366869.03093,1981
91,Costa Rica,2251.538,0.30377,4.28046608,6.11611986160278,2623807074.294799,1981
92,Cote d'Ivoire,4466.406,0.0956,0.8112601,6.853208144505819,8432588483.852627,1981
93,Cyprus,3047.277,0.20331,2.18027353,3.79132008552551,2087496373.7796376,1981
94,Czech Republic,138176.227,0.89446,5.07170343,3.77507996559143,..,1981
95,Denmark,51789.041,1.80667,6.73533964,5.898816823959349,61877813965.24132,1981
96,Estonia,23879.504,0.57074,3.92247367,5.70691013336182,..,1981
97,Ethiopia,1866.503,0.17917,1.79956126,2.11234998703003,7324903188.405798,1981
98,Finland,51510.349,2.45311,5.37109375,4.83336019515991,52448332874.06999,1981
99,"Gambia, The",157.681,0.02039,0.58467138,4.29514980316162,218764445.78434327,1981
100,Ghana,3047.277,0.23157,0.77592826,1.80812001228333,4222441614.9743247,1981
101,Guinea,990.09,,0.30125162,2.01639008522034,..,1981
102,Guyana,1800.497,,2.38048863,8.2534704208374,570357107.1428572,1981
103,"Hong Kong SAR, China",18690.699,0.4283,,2.27172994613647,31055409443.042957,1981
104,Hungary,86618.207,0.63025,4.66643333,5.87939977645874,..,1981
105,Iceland,1752.826,1.7954,7.21218348,4.25224018096924,3498247418.399269,1981
106,"Iran, Islamic Rep.",112899.596,0.50218,1.7855711,7.1314001083374,100499312748.72406,1981
107,Ireland,26039.367,1.27006,4.57751989,5.72516012191772,20694943592.34377,1981
108,Israel,21213.595,2.59385,4.29216099,7.09190988540649,25668421052.631577,1981
109,Italy,378020.029,0.94843,5.49627781,4.48805999755859,430702851303.01483,1981
110,Jamaica,7414.674,0.0491,3.18738079,5.39190006256104,2979061412.372291,1981
